iter	RMSE
0	5847.401164
1	5827.652458
2	5808.113234
3	5788.925476
4	5769.471585
5	5750.138554
6	5730.710461
7	5711.670209
8	5692.607405
9	5673.46838
10	5654.272481
11	5635.221988
12	5616.520702
13	5597.908464
14	5579.111121
15	5560.339528
16	5541.957011
17	5524.053649
18	5505.962514
19	5487.572185
20	5469.402223
21	5450.854247
22	5432.927321
23	5415.194046
24	5397.063217
25	5379.11783
26	5361.400311
27	5343.806508
28	5326.386293
29	5308.822035
30	5291.383628
31	5273.875105
32	5256.833518
33	5239.483144
34	5222.199919
35	5204.901069
36	5187.880715
37	5170.950698
38	5153.901586
39	5137.053022
40	5120.147587
41	5103.419496
42	5086.473567
43	5069.811754
44	5053.295458
45	5036.576841
46	5020.064296
47	5003.799224
48	4987.767908
49	4971.404027
50	4955.491637
51	4939.344269
52	4923.222415
53	4907.320069
54	4891.56586
55	4875.634088
56	4859.809458
57	4844.033737
58	4828.362811
59	4812.678151
60	4797.483697
61	4781.99592
62	4766.498225
63	4751.055406
64	4735.726266
65	4720.413165
66	4705.352002
67	4690.422938
68	4675.283586
69	4660.400005
70	4645.608806
71	4630.800472
72	4616.416721
73	4601.908218
74	4587.230972
75	4572.908735
76	4558.858885
77	4544.780982
78	4530.493018
79	4516.346832
80	4502.192049
81	4488.290206
82	4474.259774
83	4460.384517
84	4446.627488
85	4432.709319
86	4418.960425
87	4405.178138
88	4391.403146
89	4377.607396
90	4364.134926
91	4350.682787
92	4337.316859
93	4324.007177
94	4310.983566
95	4297.746738
96	4284.395111
97	4271.130789
98	4257.976303
99	4244.979167
100	4231.725445
101	4218.99765
102	4205.866705
103	4193.083197
104	4180.332688
105	4167.607065
106	4154.871729
107	4142.023951
108	4129.857456
109	4117.515541
110	4105.157107
111	4092.84345
112	4080.007215
113	4067.656156
114	4055.373769
115	4043.324861
116	4031.158698
117	4019.243275
118	4006.919197
119	3994.722145
120	3982.593822
121	3970.695666
122	3958.799074
123	3947.086172
124	3935.283769
125	3923.690204
126	3912.355863
127	3900.655281
128	3889.307688
129	3877.676302
130	3866.284107
131	3854.78165
132	3843.730656
133	3832.420964
134	3821.361984
135	3809.886751
136	3798.8127
137	3787.806914
138	3776.609293
139	3765.851063
140	3755.056454
141	3743.940469
142	3733.09992
143	3722.294393
144	3711.608715
145	3701.002989
146	3690.319091
147	3679.656425
148	3668.919617
149	3658.402542
150	3647.661287
151	3637.340503
152	3626.680998
153	3616.555686
154	3606.264678
155	3595.760043
156	3585.390336
157	3575.019744
158	3564.719132
159	3554.8558
160	3544.810359
161	3534.668319
162	3524.902999
163	3515.112524
164	3505.276234
165	3495.321828
166	3485.200789
167	3475.617649
168	3465.977662
169	3456.419881
170	3446.858254
171	3437.180301
172	3427.703582
173	3418.055434
174	3408.646696
175	3399.346453
176	3389.902263
177	3380.48375
178	3371.148904
179	3362.161695
180	3353.06377
181	3344.011294
182	3335.022146
183	3326.186236
184	3317.201351
185	3308.006596
186	3298.93021
187	3290.283237
188	3281.448798
189	3272.522719
190	3263.751167
191	3254.89029
192	3246.199609
193	3237.632096
194	3228.955903
195	3220.687723
196	3212.141685
197	3203.394147
198	3194.992228
199	3186.613582
200	3178.007364
201	3169.670723
202	3161.292817
203	3152.7928
204	3144.455702
205	3136.057198
206	3127.833046
207	3119.552589
208	3111.506516
209	3103.476883
210	3095.362513
211	3087.527786
212	3079.600553
213	3071.721303
214	3063.995863
215	3056.236958
216	3048.292358
217	3040.490558
218	3032.739312
219	3024.981806
220	3017.529486
221	3009.896956
222	3002.363219
223	2994.632608
224	2987.291287
225	2979.801123
226	2971.999679
227	2964.586343
228	2957.284122
229	2949.964741
230	2942.647625
231	2935.154564
232	2927.81248
233	2920.744251
234	2913.58971
235	2906.484266
236	2899.473387
237	2892.274372
238	2885.419482
239	2878.182123
240	2871.354
241	2864.665572
242	2857.699774
243	2850.857146
244	2844.14479
245	2837.287344
246	2830.477135
247	2823.762472
248	2817.037856
249	2810.36441
250	2803.747958
251	2797.049736
252	2790.20691
253	2783.281287
254	2776.753547
255	2770.115136
256	2763.571769
257	2757.053663
258	2750.522599
259	2744.157414
260	2737.946674
261	2731.90958
262	2725.411805
263	2719.209194
264	2712.970914
265	2706.629109
266	2700.194149
267	2693.835177
268	2687.64597
269	2681.574281
270	2675.419808
271	2669.238769
272	2663.658722
273	2657.636619
274	2651.572484
275	2645.421271
276	2639.484285
277	2633.384247
278	2627.540383
279	2621.603539
280	2615.852437
281	2610.16989
282	2604.625013
283	2599.10014
284	2593.49337
285	2587.824866
286	2582.078447
287	2576.506238
288	2571.075685
289	2565.509347
290	2560.001924
291	2554.33842
292	2548.583641
293	2543.275536
294	2537.985366
295	2532.587281
296	2527.227085
297	2521.631707
298	2516.191894
299	2511.104969
300	2505.817937
301	2500.269486
302	2494.99558
303	2489.674173
304	2484.455321
305	2479.227246
306	2474.0646
307	2468.954206
308	2464.019155
309	2459.058258
310	2454.081597
311	2449.130247
312	2443.929236
313	2438.944656
314	2433.974523
315	2429.238298
316	2424.249856
317	2419.297162
318	2414.403953
319	2409.707917
320	2405.014529
321	2400.402276
322	2395.518341
323	2390.681167
324	2385.770081
325	2380.887373
326	2376.190553
327	2371.617959
328	2366.952667
329	2362.14043
330	2357.552665
331	2352.983628
332	2348.412614
333	2344.042507
334	2339.619537
335	2334.952247
336	2330.498456
337	2325.815457
338	2321.305819
339	2317.011388
340	2312.526554
341	2308.02305
342	2303.694449
343	2299.40248
344	2295.100641
345	2291.098873
346	2286.791666
347	2282.527111
348	2278.422704
349	2274.193494
350	2270.116057
351	2265.768988
352	2261.630618
353	2257.59355
354	2253.347212
355	2249.230005
356	2245.092172
357	2241.1011
358	2237.135522
359	2232.89446
360	2228.902357
361	2224.932003
362	2221.172522
363	2217.289898
364	2213.55778
365	2209.821315
366	2206.27703
367	2202.582702
368	2198.686219
369	2194.95397
370	2191.043611
371	2187.127557
372	2183.120138
373	2179.533495
374	2175.825574
375	2172.279675
376	2168.640795
377	2164.685628
378	2161.217539
379	2157.707653
380	2154.10166
381	2150.593444
382	2146.997881
383	2143.156018
384	2139.603227
385	2136.184508
386	2132.510679
387	2128.927611
388	2125.428149
389	2121.92762
390	2118.523827
391	2115.147884
392	2111.811143
393	2108.663082
394	2105.367755
395	2101.981375
396	2098.890382
397	2095.667171
398	2092.43719
399	2089.217342
400	2085.879812
401	2082.691558
402	2079.265392
403	2076.099363
404	2073.036256
405	2069.905905
406	2066.920915
407	2063.807048
408	2060.927133
409	2058.015168
410	2054.713113
411	2051.679759
412	2048.734667
413	2045.727217
414	2042.780511
415	2039.662065
416	2036.642395
417	2033.735335
418	2030.847577
419	2027.970677
420	2024.875485
421	2021.765821
422	2018.858531
423	2015.973289
424	2013.016681
425	2010.10148
426	2007.129393
427	2004.373432
428	2001.365232
429	1998.263508
430	1995.507398
431	1992.696979
432	1990.056164
433	1987.38486
434	1984.687082
435	1981.923603
436	1979.126487
437	1976.443105
438	1973.900701
439	1971.109572
440	1968.594871
441	1965.777441
442	1963.132611
443	1960.559497
444	1958.184817
445	1955.438843
446	1952.867443
447	1950.177578
448	1947.471427
449	1944.927602
450	1942.337393
451	1939.835813
452	1937.088378
453	1934.743253
454	1932.342261
455	1929.922231
456	1927.471368
457	1924.927999
458	1922.566141
459	1920.184673
460	1917.50101
461	1915.272769
462	1912.981279
463	1910.500741
464	1908.213112
465	1905.723857
466	1903.635442
467	1901.17804
468	1898.804684
469	1896.457291
470	1894.290243
471	1891.983069
472	1889.596529
473	1887.346147
474	1885.057463
475	1882.720321
476	1880.551725
477	1878.084385
478	1875.909807
479	1873.804578
480	1871.597629
481	1869.451444
482	1867.346843
483	1865.37286
484	1863.307085
485	1861.084238
486	1858.891571
487	1856.66899
488	1854.593164
489	1852.589138
490	1850.661439
491	1848.561716
492	1846.686484
493	1844.638117
494	1842.634572
495	1840.543699
496	1838.553885
497	1836.509313
498	1834.449492
499	1832.435571
500	1830.511061
501	1828.627742
502	1826.423021
503	1824.558438
504	1822.788648
505	1820.966665
506	1819.251711
507	1817.410375
508	1815.528822
509	1813.620427
510	1811.792689
511	1809.867816
512	1807.915853
513	1806.226185
514	1804.258453
515	1802.516955
516	1800.65799
517	1798.740954
518	1797.007139
519	1795.319274
520	1793.498015
521	1791.73471
522	1789.917393
523	1788.290108
524	1786.673796
525	1784.819331
526	1782.897404
527	1781.228894
528	1779.609522
529	1778.008187
530	1776.262949
531	1774.580081
532	1773.017803
533	1771.324421
534	1769.696114
535	1767.909448
536	1766.230278
537	1764.507435
538	1762.747367
539	1761.193099
540	1759.606196
541	1757.971459
542	1756.441164
543	1754.819815
544	1753.370642
545	1751.853324
546	1750.190275
547	1748.81817
548	1747.382661
549	1745.869488
550	1744.342222
551	1742.689216
552	1741.2266
553	1739.786722
554	1738.263811
555	1736.782036
556	1735.245102
557	1733.80365
558	1732.236977
559	1730.843478
560	1729.330028
561	1727.795008
562	1726.328348
563	1724.822393
564	1723.401854
565	1722.028368
566	1720.692532
567	1719.368139
568	1718.06578
569	1716.770876
570	1715.339731
571	1714.035002
572	1712.775544
573	1711.439025
574	1710.161966
575	1708.692586
576	1707.203687
577	1705.948141
578	1704.57547
579	1703.078268
580	1701.725301
581	1700.308562
582	1699.017293
583	1697.638833
584	1696.469306
585	1695.185854
586	1693.898966
587	1692.60386
588	1691.20435
589	1690.095957
590	1688.853665
591	1687.696102
592	1686.527647
593	1685.18333
594	1683.768766
595	1682.485464
596	1681.305417
597	1680.171665
598	1678.971265
599	1677.659113
600	1676.504142
601	1675.34704
602	1674.178673
603	1672.87024
604	1671.75468
605	1670.698394
606	1669.626136
607	1668.500252
608	1667.314987
609	1666.245456
610	1665.183268
611	1664.165253
612	1662.964427
613	1661.928226
614	1660.920613
615	1659.92293
616	1658.672107
617	1657.645279
618	1656.613176
619	1655.583526
620	1654.444382
621	1653.30215
622	1652.366698
623	1651.353479
624	1650.376747
625	1649.362216
626	1648.236293
627	1647.198848
628	1646.278871
629	1645.224586
630	1644.148606
631	1643.038147
632	1642.001891
633	1641.076309
634	1640.06714
635	1639.115599
636	1638.174848
637	1637.28335
638	1636.368592
639	1635.26255
640	1634.436903
641	1633.416903
642	1632.489875
643	1631.652971
644	1630.645222
645	1629.512684
646	1628.606556
647	1627.710883
648	1626.659968
649	1625.745617
650	1624.878623
651	1623.814404
652	1622.789152
653	1621.845988
654	1620.833266
655	1619.925719
656	1619.019805
657	1618.050813
658	1617.211705
659	1616.240791
660	1615.38419
661	1614.46036
662	1613.722865
663	1612.765877
664	1611.936507
665	1611.008212
666	1610.165147
667	1609.29962
668	1608.373768
669	1607.65099
670	1606.881579
671	1606.107586
672	1605.183325
673	1604.276779
674	1603.512018
675	1602.712237
676	1602.002276
677	1601.165388
678	1600.341504
679	1599.556782
680	1598.850574
681	1598.145899
682	1597.3737
683	1596.628303
684	1595.713905
685	1594.8179
686	1594.097364
687	1593.342833
