iter	Passed	Remaining
0	42	4286799
1	82	4145204
2	127	4264997
3	164	4107069
4	210	4203032
5	246	4116107
6	301	4305175
7	340	4258976
8	388	4312344
9	425	4258699
10	472	4290481
11	512	4266164
12	559	4302020
13	598	4276151
14	646	4307766
15	684	4274679
16	729	4289627
17	768	4269476
18	813	4280871
19	849	4249096
20	897	4274178
21	935	4251386
22	984	4278364
23	1024	4266190
24	1068	4271493
25	1105	4251083
26	1150	4261604
27	1188	4244328
28	1234	4255477
29	1273	4243710
30	1319	4254238
31	1359	4247907
32	1404	4253632
33	1444	4246523
34	1489	4254217
35	1526	4239559
36	1575	4257788
37	1613	4245134
38	1662	4262434
39	1702	4254932
40	1753	4276046
41	1795	4272965
42	1842	4284020
43	1882	4275599
44	1929	4286483
45	1968	4276766
46	2014	4283246
47	2048	4265423
48	2091	4267230
49	2129	4256895
50	2175	4264461
51	2212	4253423
52	2257	4257731
53	2295	4248631
54	2341	4255630
55	2381	4251169
56	2428	4258058
57	2465	4249187
58	2512	4255833
59	2550	4248009
60	2599	4258720
61	2637	4251072
62	2685	4259686
63	2722	4251316
64	2769	4257475
65	2808	4252874
66	2856	4260393
67	2894	4253311
68	2940	4258978
69	2979	4253228
70	3024	4257483
71	3062	4250027
72	3106	4252910
73	3144	4246110
74	3192	4253123
75	3227	4243623
76	3276	4251392
77	3314	4246297
78	3359	4249324
79	3400	4247178
80	3445	4250750
81	3483	4244436
82	3530	4249620
83	3569	4245372
84	3615	4250174
85	3655	4246922
86	3704	4253817
87	3743	4250136
88	3790	4255260
89	3827	4248773
90	3872	4251286
91	3912	4248780
92	3958	4252534
93	3998	4250022
94	4046	4255785
95	4082	4249033
96	4129	4253046
97	4166	4246916
98	4210	4249106
99	4247	4243667
100	4293	4246959
101	4332	4243210
102	4380	4248350
103	4419	4245257
104	4464	4247042
105	4504	4244598
106	4548	4246525
107	4588	4244334
108	4634	4247536
109	4675	4245385
110	4722	4249369
111	4762	4247584
112	4810	4252665
113	4849	4248711
114	4896	4252956
115	4933	4248403
116	4984	4255098
117	5022	4251033
118	5067	4253646
119	5107	4251324
120	5157	4256948
121	5197	4254812
122	5247	4260685
123	5283	4255280
124	5328	4257117
125	5366	4254000
126	5413	4257406
127	5450	4253122
128	5497	4256041
129	5534	4251898
130	5583	4256290
131	5620	4252497
132	5665	4254110
133	5705	4251989
134	5749	4253162
135	5785	4248434
136	5831	4250732
137	5869	4247252
138	5918	4251737
139	5953	4246674
140	5995	4246476
141	6033	4243170
142	6079	4244985
143	6118	4242632
144	6162	4243798
145	6200	4240549
146	6247	4243487
147	6286	4241656
148	6334	4245149
149	6373	4242412
150	6422	4246752
151	6461	4244413
152	6506	4246251
153	6544	4243082
154	6588	4244077
155	6626	4240948
156	6674	4244713
157	6714	4242821
158	6763	4247060
159	6805	4246340
160	6853	4250235
161	6890	4246254
162	6936	4248287
163	6976	4247257
164	7023	4249679
165	7061	4246635
166	7107	4249076
167	7144	4245561
168	7191	4248037
169	7229	4245218
170	7273	4246066
171	7311	4243694
172	7356	4245098
173	7395	4242921
174	7443	4246122
175	7481	4243422
176	7533	4248714
177	7569	4244703
178	7615	4247024
179	7656	4245904
180	7704	4248951
181	7742	4246451
182	7788	4248269
183	7826	4245455
184	7872	4247646
185	7911	4245693
186	7959	4248271
187	7997	4245884
188	8043	4247771
189	8081	4245255
190	8129	4248254
191	8168	4246244
192	8215	4248528
193	8253	4246029
194	8299	4248015
195	8337	4245585
196	8380	4245817
197	8417	4242861
198	8463	4244315
199	8501	4242262
200	8547	4243838
201	8586	4242010
202	8633	4244236
203	8672	4242562
204	8721	4245539
205	8764	4245701
206	8810	4247669
207	8849	4245507
208	8895	4247471
209	8933	4245127
210	8979	4246592
211	9015	4243430
212	9059	4244185
213	9097	4242232
214	9142	4243328
215	9181	4241548
216	9230	4244405
217	9268	4242175
218	9315	4244339
219	9356	4243698
220	9401	4244612
221	9440	4243096
222	9487	4245208
223	9525	4242937
224	9569	4243725
225	9607	4241343
226	9655	4243899
227	9693	4241818
228	9741	4244050
229	9779	4242018
230	9826	4243871
231	9864	4242098
232	9912	4244354
233	9949	4242149
234	9996	4243672
235	10034	4242016
236	10082	4244317
237	10117	4240930
238	10163	4242139
239	10200	4239889
240	10247	4241678
241	10283	4239285
242	10327	4239531
243	10364	4237180
244	10410	4238947
245	10447	4236654
246	10496	4238990
247	10531	4236000
248	10576	4236835
249	10612	4234406
250	10659	4236251
251	10696	4234133
252	10742	4235340
253	10781	4233783
254	10828	4235550
255	10864	4233008
256	10910	4234394
257	10947	4232172
258	10995	4234372
259	11031	4231814
260	11078	4233723
261	11118	4232694
262	11166	4234737
263	11205	4233145
264	11250	4234248
265	11291	4233483
266	11338	4235151
267	11374	4232916
268	11421	4234547
269	11459	4232802
270	11503	4233384
271	11541	4231728
272	11586	4232696
273	11626	4231496
274	11680	4235715
275	11722	4235510
276	11768	4236641
277	11809	4236248
278	11861	4239592
279	11902	4239012
280	11957	4243445
281	11998	4242716
282	12053	4247161
283	12091	4245399
284	12136	4246403
285	12175	4244939
286	12220	4245809
287	12256	4243535
288	12306	4245996
289	12349	4246167
290	12394	4246921
291	12434	4246094
292	12480	4247122
293	12517	4245246
294	12561	4245715
295	12599	4244141
296	12644	4244709
297	12682	4243176
298	12727	4244054
299	12766	4242793
300	12812	4243883
301	12852	4242831
302	12898	4243955
303	12935	4242293
304	12982	4243437
305	13021	4242296
306	13069	4243968
307	13106	4242202
308	13154	4243949
309	13193	4242664
310	13239	4243897
311	13278	4242624
312	13321	4242771
313	13360	4241640
314	13410	4243849
315	13453	4243946
316	13505	4246976
317	13547	4246812
318	13595	4248188
319	13639	4248566
320	13691	4251463
321	13731	4250571
322	13779	4252318
323	13819	4251569
324	13871	4254394
325	13912	4253754
326	13966	4256982
327	14009	4257208
328	14059	4259235
329	14101	4259108
330	14154	4262275
331	14197	4262081
332	14247	4264148
333	14288	4263710
334	14341	4266643
335	14383	4266310
336	14432	4268082
337	14474	4267796
338	14524	4270107
339	14566	4269643
340	14618	4272307
341	14659	4271877
342	14709	4273907
343	14751	4273334
344	14802	4275776
345	14840	4274224
346	14891	4276740
347	14934	4276695
348	14984	4278542
349	15022	4277114
350	15067	4277759
351	15104	4276001
352	15151	4277066
353	15190	4275979
354	15237	4276982
355	15275	4275523
356	15321	4276387
357	15359	4274962
358	15404	4275407
359	15441	4273905
360	15486	4274384
361	15525	4273377
362	15569	4273548
363	15607	4272097
364	15652	4272782
365	15692	4271852
366	15740	4273226
367	15779	4272036
368	15824	4272588
369	15863	4271591
370	15906	4271537
371	15943	4269904
372	15994	4272036
373	16035	4271506
374	16086	4273599
375	16129	4273598
376	16177	4274879
377	16219	4274571
378	16271	4276870
379	16314	4276941
380	16363	4278435
381	16402	4277350
382	16451	4278960
383	16493	4278679
384	16542	4280252
385	16582	4279493
386	16634	4281628
387	16671	4280184
388	16719	4281342
389	16759	4280548
390	16808	4281917
391	16846	4280832
392	16898	4282957
393	16940	4282557
394	16988	4283962
395	17029	4283331
396	17080	4285187
397	17119	4284262
398	17167	4285571
399	17209	4285061
400	17261	4287265
401	17300	4286327
402	17350	4287996
403	17389	4286965
404	17440	4288872
405	17480	4288018
406	17530	4289730
407	17571	4289231
408	17620	4290525
409	17661	4289914
410	17711	4291566
411	17751	4290780
412	17799	4291968
413	17839	4291210
414	17890	4293058
415	17935	4293448
416	17982	4294433
417	18023	4293763
418	18075	4295837
419	18115	4295063
420	18162	4296024
421	18203	4295416
422	18251	4296628
423	18291	4295857
424	18341	4297247
425	18381	4296489
426	18429	4297509
427	18471	4297186
428	18526	4299928
429	18567	4299376
430	18619	4301450
431	18669	4302924
432	18717	4304034
433	18758	4303387
434	18806	4304590
435	18849	4304358
436	18898	4305718
437	18940	4305439
438	18991	4307202
439	19034	4306958
440	19081	4307897
441	19122	4307221
442	19169	4307927
443	19209	4307212
444	19255	4307913
445	19296	4307370
446	19348	4309249
447	19389	4308683
448	19437	4309726
449	19477	4308872
450	19527	4310390
451	19566	4309316
452	19618	4311190
